cik,sic,sic1,sic2,sic3
20,3823,3,38,382
1750,5080,5,50,508
1761,2670,2,26,267
1800,2834,2,28,283
1923,8700,8,87,870
1969,4955,4,49,495
1985,6331,6,63,633
2034,5160,5,51,516
2062,6351,6,63,635
2070,3612,3,36,361
2098,3420,3,34,342
2131,5990,5,59,599
2135,7374,7,73,737
2178,5172,5,51,517
2186,3663,3,36,366
2230,6726,6,67,672
2310,5040,5,50,504
2457,6099,6,60,609
2467,7373,7,73,737
2488,3674,3,36,367
2491,3990,3,39,399
2589,8711,8,87,871
2590,5080,5,50,508
2601,3825,3,38,382
2618,2834,2,28,283
2682,6020,6,60,602
2809,1040,1,10,104
2904,2253,2,22,225
2969,2810,2,28,281
3000,4513,4,45,451
3116,2834,2,28,283
3124,2851,2,28,285
3133,6020,6,60,602
3197,3564,3,35,356
3292,2250,2,22,225
3333,5411,5,54,541
3370,5040,5,50,504
3398,3661,3,36,366
3449,6411,6,64,641
3453,4400,4,44,440
3499,6798,6,67,679
3535,3672,3,36,367
3545,100,0,1,10
3570,1311,1,13,131
3642,6331,6,63,633
3662,2390,2,23,239
3673,4911,4,49,491
3721,3663,3,36,366
3753,3576,3,35,357
3906,6159,6,61,615
3933,1311,1,13,131
3941,3540,3,35,354
3952,9995,9,99,999
3982,1381,1,13,138
4127,3674,3,36,367
4164,3357,3,33,335
4187,4953,4,49,495
4281,3728,3,37,372
4285,3350,3,33,335
4310,2834,2,28,283
4317,7373,7,73,737
4344,7359,7,73,735
4363,3334,3,33,333
4427,3571,3,35,357
4447,1311,1,13,131
4457,7510,7,75,751
4507,2030,2,20,203
4611,2670,2,26,267
4672,2670,2,26,267
4829,2800,2,28,280
4833,8071,8,80,807
4904,4911,4,49,491
4911,3812,3,38,381
4962,6141,6,61,614
4977,6321,6,63,632
5009,3080,3,30,308
5094,6726,6,67,672
5099,6726,6,67,672
5103,6311,6,63,631
5133,2771,2,27,277
5172,6311,6,63,631
5177,3420,3,34,342
5187,2834,2,28,283
5227,6331,6,63,633
5272,6331,6,63,633
5320,6311,6,63,631
5337,2621,2,26,262
5385,7331,7,73,733
5405,2040,2,20,204
5513,6321,6,63,632
5550,9995,9,99,999
5588,2670,2,26,267
5611,2911,2,29,291
5657,3621,3,36,362
5696,1311,1,13,131
5719,7900,7,79,790
5768,3844,3,38,384
5818,3730,3,37,373
5907,4813,4,48,481
5931,8200,8,82,820
5981,2870,2,28,287
6071,5331,5,53,533
6161,2211,2,22,221
6164,3678,3,36,367
6176,3460,3,34,346
6201,4512,4,45,451
6207,7389,7,73,738
6260,7370,7,73,737
6281,3674,3,36,367
6284,3845,3,38,384
6292,7371,7,73,737
6314,3663,3,36,366
6383,4899,4,48,489
6494,3663,3,36,366
6571,7200,7,72,720
6720,3949,3,39,394
6769,1311,1,13,131
6814,8742,8,87,874
6845,3442,3,34,344
6885,5651,5,56,565
6948,3679,3,36,367
6951,3559,3,35,355
6955,3533,3,35,353
7032,5812,5,58,581
7039,2911,2,29,291
7084,2070,2,20,207
7314,4923,4,49,492
7332,4923,4,49,492
7383,3312,3,33,331
7431,3290,3,32,329
7533,3690,3,36,369
7536,5065,5,50,506
7610,2780,2,27,278
7623,3523,3,35,352
7636,3714,3,37,371
7649,3330,3,33,333
7789,6020,6,60,602
7974,6141,6,61,614
8038,5065,5,50,506
8063,3640,3,36,364
8065,3823,3,38,382
8076,3663,3,36,366
8109,3711,3,37,371
8117,3312,3,33,331
8126,6020,6,60,602
8137,1600,1,16,160
8146,3577,3,35,357
8177,6321,6,63,632
8302,1040,1,10,104
8411,1381,1,13,138
8462,3714,3,37,371
8504,3721,3,37,372
8588,7384,7,73,738
8670,7374,7,73,737
8699,3524,3,35,352
8734,5812,5,58,581
8759,3823,3,38,382
8802,6331,6,63,633
8818,2670,2,26,267
8855,2540,2,25,254
8858,5065,5,50,506
8868,2844,2,28,284
8919,3663,3,36,366
8947,3640,3,36,364
8960,6141,6,61,614
9092,3824,3,38,382
9096,2621,2,26,262
9235,6282,6,62,628
9263,8711,8,87,871
9326,2834,2,28,283
9342,3621,3,36,362
9346,6331,6,63,633
9389,3411,3,34,341
9435,7990,7,79,799
9442,2430,2,24,243
9515,6020,6,60,602
9521,6726,6,67,672
9534,3011,3,30,301
9548,4911,4,49,491
9631,6020,6,60,602
9659,6020,6,60,602
9749,6020,6,60,602
9767,6020,6,60,602
9779,2300,2,23,230
9801,2750,2,27,275
9892,3841,3,38,384
9984,3490,3,34,349
10012,6020,6,60,602
10048,1311,1,13,131
10081,2834,2,28,283
10119,3829,3,38,382
10242,9995,9,99,999
10254,1311,1,13,131
10329,2511,2,25,251
10456,2834,2,28,283
10488,4923,4,49,492
10497,6020,6,60,602
10518,2320,2,23,232
10795,3841,3,38,384
11027,3960,3,39,396
11109,5399,5,53,539
11199,2670,2,26,267
11290,1000,1,10,100
11390,3812,3,38,381
11454,5122,5,51,512
11544,6331,6,63,633
11821,5399,5,53,539
11856,3567,3,35,356
11860,3312,3,33,331
11884,2890,2,28,289
11913,6020,6,60,602
11975,3950,3,39,395
12040,5812,5,58,581
12180,3560,3,35,356
12204,3841,3,38,384
12208,3826,3,38,382
12239,6794,6,67,679
12245,2950,2,29,295
12288,3845,3,38,384
12304,7373,7,73,737
12355,3540,3,35,354
12404,1623,1,16,162
12570,3060,3,30,306
12614,3081,3,30,308
