CATEGORY DESCRIPTION,SIC DIVISION,MAJOR GROUP,INDUSTRY GROUP,MOST SPECIFIC SIC CODE
"Agriculture, Forestry, Fishing",A,A,A,A
Agricultural Production Crops,A,01,01,01
Cash Grains,A,01,011,011
Wheat,A,01,011,0111
Rice,A,01,011,0112
Corn,A,01,011,0115
Soybeans,A,01,011,0116
"Cash Grains, Not Classified Elsewhere",A,01,011,0119
"Field Crops, Except Cash Grains",A,01,013,013
Cotton,A,01,013,0131
Tobacco,A,01,013,0132
Sugarcane & Sugar Beets,A,01,013,0133
Irish Potatoes,A,01,013,0134
"Field Crops, Except Cash Grains, Not Classified Elsewhere",A,01,013,0139
Vegetables & Melons,A,01,016,016
Vegetables & Melons,A,01,016,0161
Fruits and Tree Nuts,A,01,017,017
Berry Crops,A,01,017,0171
Grapes,A,01,017,0172
Tree Nuts,A,01,017,0173
Citrus Fruits,A,01,017,0174
Deciduous Tree Fruits,A,01,017,0175
"Fruits and Tree Nuts, Not Classified Elsewhere",A,01,017,0171
Horticultural Specialties,A,01,018,018
Ornamental Floriculture & Nursery Products,A,01,018,0181
Food Crops Grown Under Cover,A,01,018,0182
"General Farms, Primarily Crops",A,01,019,019
"General Farms, Primarily Crops",A,01,019,0191
Agriculture Livestock Production & Animal Specialties ,A,02,02,02
"Livestock, Except Dairy And Poultry",A,02,021,021
Beef Cattle Feedlots,A,02,021,0211
"Beef Cattle, Except Feedlots",A,02,021,0212
Hog,A,02,021,0213
Sheep and Goats,A,02,021,0214
"General Livestock, Except Dairy and Poultry",A,02,021,0219
Dairy Farms,A,02,024,024
Dairy Farms,A,02,024,0241
Poultry And Eggs,A,02,025,025
"Broiler, Fryer, and Roaster Chickens",A,02,025,0251
Chicken Eggs,A,02,025,0252
Turkeys and Turkey Eggs,A,02,025,0253
Poultry Hatcheries,A,02,025,0254
"Poultry and Eggs, Not Elsewhere Classified",A,02,025,0259
Animal Specialties,A,02,027,027
Fur-Bearing Animals and Rabbit,A,02,027,0271
Horses and Other Equines,A,02,027,0272
Animal Aquaculture,A,02,027,0273
"Animal Specialties, Not Elsewhere Classified",A,02,027,0279
"General Farms, Primarily Livestock And Animal",A,02,029,029
"General Farms, Primarily Livestock and Animal Specialties",A,02,029,0291
Agricultural Services,A,07,07,07
Soil Preparation Services,A,07,071,071
Soil Preparation Services,A,07,071,0711
Crop Services,A,07,072,072
"Crop Planting, Cultivating, and Protecting",A,07,072,0721
"Crop Harvesting, Primarily by Machine",A,07,072,0722
"Crop Preparation Services for Market, Except Cotton Ginning",A,07,072,0723
Cotton Ginning,A,07,072,0724
Veterinary Services,A,07,074,074
Veterinary Services for Livestock,A,07,074,0741
Veterinary Services for Animal Specialties,A,07,074,0742
"Livestock Services, Except Veterinary",A,07,075,0751
"Animal Specialty Services, Except Veterinary",A,07,075,0752
Farm Labor And Management Services,A,07,076,076
Farm Labor Contractors and Crew Leaders,A,07,076,0761
Farm Management Services,A,07,076,0762
Landscape And Horticultural Services,A,07,078,078
Landscape Counseling and Planning,A,07,078,0781
Lawn and Garden Services,A,07,078,0782
Ornamental Shrub and Tree Services,A,07,078,0783
Forestry,A,08,08,08
Timber Tracts,A,08,081,081
Timber Tracts,A,08,081,0811
Forest Nurseries And Gathering Of Forest,A,08,083,083
Forest Nurseries and Gathering of Forest Products,A,08,083,0831
Forestry Services,A,08,085,085
Forestry Services,A,08,085,0851
"Fishing, hunting, and trapping",A,09,09,09
Commercial Fishing,A,09,091,091
Finfish,A,09,091,0912
Shellfish,A,09,091,0913
Miscellaneous Marine Products,A,09,091,0919
Fish Hatcheries And Preserves,A,09,092,092
Fish Hatcheries and Preserves,A,09,092,0921
"Hunting And Trapping, And Game Propagation",A,09,097,097
"Hunting and Trapping, and Game Propagation",A,09,097,0971
Mining,B,B,B,B
Metal mining,B,10,10,10
Iron ores,B,10,101,101
Iron ores,B,10,101,1011
Iron ore mining,B,10,101,1011
Copper ores,B,10,102,102
Copper ores,B,10,102,1021
Copper ore & nickel ore mining (pt),B,10,102,1021
Lead and zinc ores,B,10,103,103
Lead & zinc ores,B,10,103,1031
Lead ore & zinc ore mining,B,10,103,1031
Gold and silver ores,B,10,104,104
Gold ores,B,10,104,1041
Gold ore mining,B,10,104,1041
Silver ores,B,10,104,1044
Silver ore mining,B,10,104,1044
Metal mining services,B,10,108,108
Metal mining services,B,10,108,1081
Support activities for metal mining,B,10,108,1081
Geophysical surveying & mapping services (pt),B,10,108,1081
Miscellaneous metal ores,B,10,109,109
Uranium-radium-vanadium ores,B,10,109,1094
Uranium-radium-vanadium ore mining,B,10,109,1094
"Misc metal ores, n.e.c., & ferroalloy ores, exc vanadium",B,10,106,1061
Copper ore & nickel ore mining (pt),B,10,109,1099
All other metal ore mining,B,10,109,1099
Coal mining,B,12,12,12
Bituminous coal and lignite mining,B,12,122,122
Bituminous coal & lignite - surface,B,12,122,1221
Bituminous coal & lignite surface mining,B,12,122,1221
Bituminous coal - underground,B,12,122,1222
Bituminous coal underground mining,B,12,122,1222
Anthracite mining,B,12,123,123
Anthracite mining,B,12,123,1231
Anthracite mining,B,12,123,1231
Coal mining services,B,12,124,124
Coal mining services,B,12,124,1241
Support activities for coal mining,B,12,124,1241
Oil and gas extraction,B,13,13,13
Crude petroleum and natural gas,B,13,131,131
Crude petroleum & natural gas,B,13,131,1311
Crude petroleum & natural gas extraction,B,13,131,1311
Natural gas liquids,B,13,132,132
Natural gas liquids,B,13,132,1321
Natural gas liquid extraction,B,13,132,1321
Oil and gas field services,B,13,138,138
Drilling oil & gas wells,B,13,138,1381
Drilling oil & gas wells,B,13,138,1381
Oil & gas exploration services,B,13,138,1382
Support activities for oil & gas operations (pt),B,13,138,1382
Geophysical surveying & mapping services (pt),B,13,138,1382
"Oil & gas field services, n.e.c.",B,13,138,1389
Support activities for oil & gas operations (pt),B,13,138,1389
"Nonmetallic minerals, except fuels",B,14,14,14
Dimension stone,B,14,141,141
Dimension stone,B,14,141,1411
